ID,TH-verbs,EN-verbs,Word Fequency,Doc Fequency,IDF,sum of Doc,Doc. percent,Total Feq.,Word Percent,Word Conclude,Doc Conclude
1226,รับประทาน,eat,"243,697","19,710",0.301,"46,686",42.22,"2,550,977",9.55,"243,697 (9.55%)","19,710 (42.22%)"
12160,ปฏิบัติตาม,follow,"21,918","19,493",0.301,"46,686",41.75,"2,550,977",0.86,"21,918 (0.86%)","19,493 (41.75%)"
2377,หลีกเลี่ยง,avoid,"42,124","19,108",0.301,"46,686",40.93,"2,550,977",1.65,"42,124 (1.65%)","19,108 (40.93%)"
8855,ประจำ,be stationed,"21,573","18,637",0.301,"46,686",39.92,"2,550,977",0.85,"21,573 (0.85%)","18,637 (39.92%)"
11381,เหมาะสม,be proper,"35,053","18,350",0.301,"46,686",39.31,"2,550,977",1.37,"35,053 (1.37%)","18,350 (39.31%)"
11461,ให้นม,breast-feed,"41,389","17,502",0.301,"46,686",37.49,"2,550,977",1.62,"41,389 (1.62%)","17,502 (37.49%)"
2071,ลืม,forget,"53,248","16,378",0.301,"46,686",35.08,"2,550,977",2.09,"53,248 (2.09%)","16,378 (35.08%)"
590,ตระหนักถึง,realize,"15,844","15,730",0.301,"46,686",33.69,"2,550,977",0.62,"15,844 (0.62%)","15,730 (33.69%)"
3041,ระวัง,be careful,"28,479","15,137",0.301,"46,686",32.42,"2,550,977",1.12,"28,479 (1.12%)","15,137 (32.42%)"
4386,ปวดศีรษะ,have a headache,"43,691","15,115",0.301,"46,686",32.38,"2,550,977",1.71,"43,691 (1.71%)","15,115 (32.38%)"
2465,ให้ยา,give a prescription,"31,262","14,200",0.301,"46,686",30.42,"2,550,977",1.23,"31,262 (1.23%)","14,200 (30.42%)"
7001,ติดขัด,be congested,"15,020","13,917",0.301,"46,686",29.81,"2,550,977",0.59,"15,020 (0.59%)","13,917 (29.81%)"
7403,เต้น,dance,"41,074","13,368",0.477,"46,686",28.63,"2,550,977",1.61,"41,074 (1.61%)","13,368 (28.63%)"
9569,กระตุ้น,urge,"29,965","13,178",0.477,"46,686",28.23,"2,550,977",1.17,"29,965 (1.17%)","13,178 (28.23%)"
1986,รู้สึก,feel,"20,728","12,313",0.477,"46,686",26.37,"2,550,977",0.81,"20,728 (0.81%)","12,313 (26.37%)"
11137,วินิจฉัย,judge,"40,971","12,249",0.477,"46,686",26.24,"2,550,977",1.61,"40,971 (1.61%)","12,249 (26.24%)"
7783,เจ็บ,hurt,"49,739","12,033",0.477,"46,686",25.77,"2,550,977",1.95,"49,739 (1.95%)","12,033 (25.77%)"
4952,แพ้,be defeated,"30,029","11,938",0.477,"46,686",25.57,"2,550,977",1.18,"30,029 (1.18%)","11,938 (25.57%)"
12408,รอ,wait for,"45,985","11,931",0.477,"46,686",25.56,"2,550,977",1.80,"45,985 (1.80%)","11,931 (25.56%)"
3204,เก็บรักษา,keep,"25,432","11,647",0.477,"46,686",24.95,"2,550,977",1.00,"25,432 (1.00%)","11,647 (24.95%)"
11025,มีไข้,have a temperature,"20,301","11,611",0.477,"46,686",24.87,"2,550,977",0.80,"20,301 (0.80%)","11,611 (24.87%)"
5703,ลดลง,become lower,"22,119","11,591",0.477,"46,686",24.83,"2,550,977",0.87,"22,119 (0.87%)","11,591 (24.83%)"
8442,บำบัด,assuage,"34,245","11,397",0.477,"46,686",24.41,"2,550,977",1.34,"34,245 (1.34%)","11,397 (24.41%)"
4838,พิจารณา,consider,"20,267","11,330",0.477,"46,686",24.27,"2,550,977",0.79,"20,267 (0.79%)","11,330 (24.27%)"
641,มีโอกาส,be likely,"27,003","10,859",0.477,"46,686",23.26,"2,550,977",1.06,"27,003 (1.06%)","10,859 (23.26%)"
10654,ดื่ม,drink,"26,054","10,196",0.602,"46,686",21.84,"2,550,977",1.02,"26,054 (1.02%)","10,196 (21.84%)"
3909,ยับยั้ง,restrain,"20,267","10,068",0.602,"46,686",21.57,"2,550,977",0.79,"20,267 (0.79%)","10,068 (21.57%)"
12139,ตรวจร่างกาย,have a check-up,"13,851","9,679",0.602,"46,686",20.73,"2,550,977",0.54,"13,851 (0.54%)","9,679 (20.73%)"
11881,นอน,sleep,"20,332","9,345",0.602,"46,686",20.02,"2,550,977",0.80,"20,332 (0.80%)","9,345 (20.02%)"
7054,ตอบสนอง,meet,"14,516","9,073",0.602,"46,686",19.43,"2,550,977",0.57,"14,516 (0.57%)","9,073 (19.43%)"
10147,แก้,repair,"19,140","8,833",0.602,"46,686",18.92,"2,550,977",0.75,"19,140 (0.75%)","8,833 (18.92%)"
3890,เย็น,cool,"12,944","8,640",0.602,"46,686",18.51,"2,550,977",0.51,"12,944 (0.51%)","8,640 (18.51%)"
6934,ต้านทาน,resist,"20,746","8,504",0.602,"46,686",18.22,"2,550,977",0.81,"20,746 (0.81%)","8,504 (18.22%)"
7198,ติดตาม,pay attention,"12,599","8,447",0.602,"46,686",18.09,"2,550,977",0.49,"12,599 (0.49%)","8,447 (18.09%)"
6902,ตาย,breakdown,"17,112","8,427",0.602,"46,686",18.05,"2,550,977",0.67,"17,112 (0.67%)","8,427 (18.05%)"
4051,เลือก,choose,"14,981","8,384",0.602,"46,686",17.96,"2,550,977",0.59,"14,981 (0.59%)","8,384 (17.96%)"
8070,ทำลาย,destroy,"15,900","8,376",0.602,"46,686",17.94,"2,550,977",0.62,"15,900 (0.62%)","8,376 (17.94%)"
1514,ทำการ,work,"15,528","8,036",0.699,"46,686",17.21,"2,550,977",0.61,"15,528 (0.61%)","8,036 (17.21%)"
11176,เสี่ยง,risk,"12,690","7,752",0.699,"46,686",16.60,"2,550,977",0.50,"12,690 (0.50%)","7,752 (16.60%)"
2996,มองเห็น,see,"13,701","7,602",0.699,"46,686",16.28,"2,550,977",0.54,"13,701 (0.54%)","7,602 (16.28%)"
8366,บรรเทา,relieve,"13,797","7,409",0.699,"46,686",15.87,"2,550,977",0.54,"13,797 (0.54%)","7,409 (15.87%)"
922,สังเกต,observe,"11,819","7,216",0.699,"46,686",15.46,"2,550,977",0.46,"11,819 (0.46%)","7,216 (15.46%)"
986,แห้ง,be dry,"12,311","7,190",0.699,"46,686",15.40,"2,550,977",0.48,"12,311 (0.48%)","7,190 (15.40%)"
7911,ฉีด,inject,"22,479","7,119",0.699,"46,686",15.25,"2,550,977",0.88,"22,479 (0.88%)","7,119 (15.25%)"
9487,ซึม,dull,"11,060","6,841",0.699,"46,686",14.65,"2,550,977",0.43,"11,060 (0.43%)","6,841 (14.65%)"
4252,ง่วงนอน,be sleepy,"13,416","6,726",0.778,"46,686",14.41,"2,550,977",0.53,"13,416 (0.53%)","6,726 (14.41%)"
2373,หลั่ง,run (e.g. of liquid),"14,197","6,717",0.778,"46,686",14.39,"2,550,977",0.56,"14,197 (0.56%)","6,717 (14.39%)"
6437,สับสน,jumble,"9,765","6,712",0.778,"46,686",14.38,"2,550,977",0.38,"9,765 (0.38%)","6,712 (14.38%)"
5997,วินิจฉัยโรค,diagnose,"16,314","6,664",0.778,"46,686",14.27,"2,550,977",0.64,"16,314 (0.64%)","6,664 (14.27%)"
7626,ถ่าย,transfer,"12,582","6,385",0.778,"46,686",13.68,"2,550,977",0.49,"12,582 (0.49%)","6,385 (13.68%)"
6706,เดิน,walk,"12,115","6,350",0.778,"46,686",13.60,"2,550,977",0.47,"12,115 (0.47%)","6,350 (13.60%)"
855,สงสัย,doubt,"11,297","6,236",0.778,"46,686",13.36,"2,550,977",0.44,"11,297 (0.44%)","6,236 (13.36%)"
4113,คุม,take care,"9,331","6,168",0.778,"46,686",13.21,"2,550,977",0.37,"9,331 (0.37%)","6,168 (13.21%)"
3214,เกร็ง,contract,"13,903","6,121",0.778,"46,686",13.11,"2,550,977",0.55,"13,903 (0.55%)","6,121 (13.11%)"
3842,คอย,wait,"8,263","6,062",0.778,"46,686",12.98,"2,550,977",0.32,"8,263 (0.32%)","6,062 (12.98%)"
4673,พบเห็น,to experience,"8,047","6,042",0.778,"46,686",12.94,"2,550,977",0.32,"8,047 (0.32%)","6,042 (12.94%)"
1586,มีอายุ,get old,"9,163","5,978",0.778,"46,686",12.80,"2,550,977",0.36,"9,163 (0.36%)","5,978 (12.80%)"
4240,งก,covet,"8,789","5,807",0.845,"46,686",12.44,"2,550,977",0.34,"8,789 (0.34%)","5,807 (12.44%)"
10295,คลอด,give birth to,"46,629","5,806",0.845,"46,686",12.44,"2,550,977",1.83,"46,629 (1.83%)","5,806 (12.44%)"
8148,ทิ้ง,leave,"7,286","5,755",0.845,"46,686",12.33,"2,550,977",0.29,"7,286 (0.29%)","5,755 (12.33%)"
4678,พยากรณ์,forecast,"18,357","5,704",0.845,"46,686",12.22,"2,550,977",0.72,"18,357 (0.72%)","5,704 (12.22%)"
12203,ล้าง,wash clothes,"10,749","5,689",0.845,"46,686",12.19,"2,550,977",0.42,"10,749 (0.42%)","5,689 (12.19%)"
10111,กังวล,worry,"6,751","5,685",0.845,"46,686",12.18,"2,550,977",0.26,"6,751 (0.26%)","5,685 (12.18%)"
11125,เลี่ยง,avoid,"7,275","5,577",0.845,"46,686",11.95,"2,550,977",0.29,"7,275 (0.29%)","5,577 (11.95%)"
898,สอบถาม,ask,"7,560","5,529",0.845,"46,686",11.84,"2,550,977",0.30,"7,560 (0.30%)","5,529 (11.84%)"
9104,ประเมิน,estimate,"9,165","5,528",0.845,"46,686",11.84,"2,550,977",0.36,"9,165 (0.36%)","5,528 (11.84%)"
1774,วิตกกังวล,worry,"7,944","5,404",0.845,"46,686",11.58,"2,550,977",0.31,"7,944 (0.31%)","5,404 (11.58%)"
3994,เสริม,support,"9,076","5,334",0.845,"46,686",11.43,"2,550,977",0.36,"9,076 (0.36%)","5,334 (11.43%)"
2428,เหนื่อย,be tired,"7,533","5,137",0.845,"46,686",11.00,"2,550,977",0.30,"7,533 (0.30%)","5,137 (11.00%)"
1975,รู้จัก,know,"6,651","4,983",0.903,"46,686",10.67,"2,550,977",0.26,"6,651 (0.26%)","4,983 (10.67%)"
1856,แสบ,sting,"12,650","4,915",0.903,"46,686",10.53,"2,550,977",0.50,"12,650 (0.50%)","4,915 (10.53%)"
4244,งด,stop,"9,629","4,899",0.903,"46,686",10.49,"2,550,977",0.38,"9,629 (0.38%)","4,899 (10.49%)"
919,สะอาด,be clean,"10,947","4,813",0.903,"46,686",10.31,"2,550,977",0.43,"10,947 (0.43%)","4,813 (10.31%)"
10036,กวน,disturb,"6,210","4,776",0.903,"46,686",10.23,"2,550,977",0.24,"6,210 (0.24%)","4,776 (10.23%)"
3544,แข็งแรง,be healthy,"6,986","4,706",0.903,"46,686",10.08,"2,550,977",0.27,"6,986 (0.27%)","4,706 (10.08%)"
2499,ออกกำลังกาย,exercise,"8,748","4,687",0.903,"46,686",10.04,"2,550,977",0.34,"8,748 (0.34%)","4,687 (10.04%)"
639,มีเพศสัมพันธ์,engage in sexual intercourse,"11,326","4,615",0.903,"46,686",9.89,"2,550,977",0.44,"11,326 (0.44%)","4,615 (9.89%)"
7912,ฉีดยา,inject,"12,188","4,537",0.954,"46,686",9.72,"2,550,977",0.48,"12,188 (0.48%)","4,537 (9.72%)"
11834,กลืน,swallow,"9,205","4,501",0.954,"46,686",9.64,"2,550,977",0.36,"9,205 (0.36%)","4,501 (9.64%)"
4419,ปลอดภัย,be safe,"5,715","4,478",0.954,"46,686",9.59,"2,550,977",0.22,"5,715 (0.22%)","4,478 (9.59%)"
10676,ดูแลรักษา,look after,"7,163","4,411",0.954,"46,686",9.45,"2,550,977",0.28,"7,163 (0.28%)","4,411 (9.45%)"
4182,เคลื่อนไหว,move,"8,614","4,390",0.954,"46,686",9.40,"2,550,977",0.34,"8,614 (0.34%)","4,390 (9.40%)"
8102,ทำหน้าที่,perform,"7,291","4,385",0.954,"46,686",9.39,"2,550,977",0.29,"7,291 (0.29%)","4,385 (9.39%)"
2571,อึดอัด,feel cramped,"4,777","4,380",0.954,"46,686",9.38,"2,550,977",0.19,"4,777 (0.19%)","4,380 (9.38%)"
1861,หด,shrink,"6,573","4,174",0.954,"46,686",8.94,"2,550,977",0.26,"6,573 (0.26%)","4,174 (8.94%)"
3107,เฝ้า,have an audience with/of,"5,813","4,074",1.000,"46,686",8.73,"2,550,977",0.23,"5,813 (0.23%)","4,074 (8.73%)"
2507,ออกแรง,exert,"4,994","4,053",1.000,"46,686",8.68,"2,550,977",0.20,"4,994 (0.20%)","4,053 (8.68%)"
9738,กระทบ,hit,"4,782","4,047",1.000,"46,686",8.67,"2,550,977",0.19,"4,782 (0.19%)","4,047 (8.67%)"
1744,ลุกลาม,spread,"10,321","3,986",1.000,"46,686",8.54,"2,550,977",0.40,"10,321 (0.40%)","3,986 (8.54%)"
8884,ประคับประคอง,support,"5,858","3,957",1.000,"46,686",8.48,"2,550,977",0.23,"5,858 (0.23%)","3,957 (8.48%)"
7796,เจ็บป่วย,be sick,"5,225","3,924",1.000,"46,686",8.41,"2,550,977",0.20,"5,225 (0.20%)","3,924 (8.41%)"
11197,เสื่อม,deteriorate,"16,731","3,915",1.000,"46,686",8.39,"2,550,977",0.66,"16,731 (0.66%)","3,915 (8.39%)"
9162,ชะลอ,slow down/up,"5,133","3,904",1.000,"46,686",8.36,"2,550,977",0.20,"5,133 (0.20%)","3,904 (8.36%)"
10569,ช็อก,shock,"6,139","3,893",1.000,"46,686",8.34,"2,550,977",0.24,"6,139 (0.24%)","3,893 (8.34%)"
903,สะดวก,be convenient,"4,968","3,804",1.000,"46,686",8.15,"2,550,977",0.19,"4,968 (0.19%)","3,804 (8.15%)"
2332,หมดสติ,lose consciousness,"5,501","3,748",1.000,"46,686",8.03,"2,550,977",0.22,"5,501 (0.22%)","3,748 (8.03%)"
10665,ดูด,absorb,"6,767","3,733",1.000,"46,686",8.00,"2,550,977",0.27,"6,767 (0.27%)","3,733 (8.00%)"
7425,เตรียมตัว,prepare,"6,229","3,690",1.041,"46,686",7.90,"2,550,977",0.24,"6,229 (0.24%)","3,690 (7.90%)"
10749,ตรวจเลือด,have blood test,"5,267","3,670",1.041,"46,686",7.86,"2,550,977",0.21,"5,267 (0.21%)","3,670 (7.86%)"
8449,บำบัดรักษา,treat,"4,936","3,655",1.041,"46,686",7.83,"2,550,977",0.19,"4,936 (0.19%)","3,655 (7.83%)"
10452,จำกัด,limit,"6,474","3,631",1.041,"46,686",7.78,"2,550,977",0.25,"6,474 (0.25%)","3,631 (7.78%)"
12250,หายใจไม่ออก,suffocate,"4,049","3,615",1.041,"46,686",7.74,"2,550,977",0.16,"4,049 (0.16%)","3,615 (7.74%)"
6921,ตาพร่า,dim (eyes),"4,446","3,607",1.041,"46,686",7.73,"2,550,977",0.17,"4,446 (0.17%)","3,607 (7.73%)"
4058,สะสม,accumulate,"6,223","3,599",1.041,"46,686",7.71,"2,550,977",0.24,"6,223 (0.24%)","3,599 (7.71%)"
9572,กระตุก,pull violently,"12,090","3,578",1.041,"46,686",7.66,"2,550,977",0.47,"12,090 (0.47%)","3,578 (7.66%)"
2551,โภค,eat,"6,831","3,518",1.041,"46,686",7.54,"2,550,977",0.27,"6,831 (0.27%)","3,518 (7.54%)"
839,ศึกษา,study,"5,343","3,489",1.041,"46,686",7.47,"2,550,977",0.21,"5,343 (0.21%)","3,489 (7.47%)"
4784,พักผ่อน,rest,"4,940","3,389",1.079,"46,686",7.26,"2,550,977",0.19,"4,940 (0.19%)","3,389 (7.26%)"
7229,ต่อต้าน,resist,"5,370","3,375",1.079,"46,686",7.23,"2,550,977",0.21,"5,370 (0.21%)","3,375 (7.23%)"
12957,สูบบุหรี่,smoke,"5,782","3,312",1.079,"46,686",7.09,"2,550,977",0.23,"5,782 (0.23%)","3,312 (7.09%)"
10751,ตรวจสอบ,check,"4,582","3,309",1.079,"46,686",7.09,"2,550,977",0.18,"4,582 (0.18%)","3,309 (7.09%)"
3927,ระมัดระวัง,be careful,"4,245","3,291",1.079,"46,686",7.05,"2,550,977",0.17,"4,245 (0.17%)","3,291 (7.05%)"
5255,เป็นพิษ,be poisonous,"6,681","3,283",1.079,"46,686",7.03,"2,550,977",0.26,"6,681 (0.26%)","3,283 (7.03%)"
866,สนับสนุน,support,"4,757","3,279",1.079,"46,686",7.02,"2,550,977",0.19,"4,757 (0.19%)","3,279 (7.02%)"
3548,แข็งตัว,harden,"4,691","3,154",1.079,"46,686",6.76,"2,550,977",0.18,"4,691 (0.18%)","3,154 (6.76%)"
5219,ไม่สบาย,have a fever,"3,726","3,124",1.114,"46,686",6.69,"2,550,977",0.15,"3,726 (0.15%)","3,124 (6.69%)"
7644,ถ่ายอุจจาระ,defecate,"6,152","3,110",1.114,"46,686",6.66,"2,550,977",0.24,"6,152 (0.24%)","3,110 (6.66%)"
10959,นั่ง,place,"5,956","3,055",1.114,"46,686",6.54,"2,550,977",0.23,"5,956 (0.23%)","3,055 (6.54%)"
10782,เตรียม,prepare,"5,950","3,051",1.114,"46,686",6.54,"2,550,977",0.23,"5,950 (0.23%)","3,051 (6.54%)"
8311,นิ่ว,frown,"10,478","3,048",1.114,"46,686",6.53,"2,550,977",0.41,"10,478 (0.41%)","3,048 (6.53%)"
4200,เคี้ยว,chew,"3,823","3,044",1.114,"46,686",6.52,"2,550,977",0.15,"3,823 (0.15%)","3,044 (6.52%)"
7365,ตึง,be strict,"3,880","3,017",1.114,"46,686",6.46,"2,550,977",0.15,"3,880 (0.15%)","3,017 (6.46%)"
4250,ง่วง,be sleepy,"5,244","2,990",1.114,"46,686",6.40,"2,550,977",0.21,"5,244 (0.21%)","2,990 (6.40%)"
5517,ผอม,be thin,"3,478","2,990",1.114,"46,686",6.40,"2,550,977",0.14,"3,478 (0.14%)","2,990 (6.40%)"
10113,กัด,corrode,"15,659","2,949",1.114,"46,686",6.32,"2,550,977",0.61,"15,659 (0.61%)","2,949 (6.32%)"
2782,ใช้ชีวิต,live,"4,411","2,929",1.114,"46,686",6.27,"2,550,977",0.17,"4,411 (0.17%)","2,929 (6.27%)"
4231,ฆ่าเชื้อ,sterilize,"5,311","2,875",1.146,"46,686",6.16,"2,550,977",0.21,"5,311 (0.21%)","2,875 (6.16%)"
7192,กลั้น,restrain,"4,568","2,866",1.146,"46,686",6.14,"2,550,977",0.18,"4,568 (0.18%)","2,866 (6.14%)"
4426,ปล่อย,allow,"4,023","2,848",1.146,"46,686",6.10,"2,550,977",0.16,"4,023 (0.16%)","2,848 (6.10%)"
1733,ลาม,spread,"4,450","2,813",1.146,"46,686",6.03,"2,550,977",0.17,"4,450 (0.17%)","2,813 (6.03%)"
11611,ปรับเปลี่ยน,change,"4,243","2,694",1.176,"46,686",5.77,"2,550,977",0.17,"4,243 (0.17%)","2,694 (5.77%)"
10710,ตกเลือด,miscarry,"6,487","2,673",1.176,"46,686",5.73,"2,550,977",0.25,"6,487 (0.25%)","2,673 (5.73%)"
2432,เหม็น,be notorious,"3,115","2,670",1.176,"46,686",5.72,"2,550,977",0.12,"3,115 (0.12%)","2,670 (5.72%)"
11882,นอนหลับ,sleep,"5,547","2,644",1.176,"46,686",5.66,"2,550,977",0.22,"5,547 (0.22%)","2,644 (5.66%)"
1927,อม,embezzle,"5,663","2,640",1.176,"46,686",5.65,"2,550,977",0.22,"5,663 (0.22%)","2,640 (5.65%)"
6720,เดินทาง,travel,"6,122","2,586",1.176,"46,686",5.54,"2,550,977",0.24,"6,122 (0.24%)","2,586 (5.54%)"
9766,กระสับกระส่าย,fidget,"3,087","2,563",1.176,"46,686",5.49,"2,550,977",0.12,"3,087 (0.12%)","2,563 (5.49%)"
1367,ยึด,fix,"3,034","2,528",1.204,"46,686",5.41,"2,550,977",0.12,"3,034 (0.12%)","2,528 (5.41%)"
3014,ร้อง,cry,"3,298","2,517",1.204,"46,686",5.39,"2,550,977",0.13,"3,298 (0.13%)","2,517 (5.39%)"
956,สืบพันธุ์,reproduce,"4,431","2,496",1.204,"46,686",5.35,"2,550,977",0.17,"4,431 (0.17%)","2,496 (5.35%)"
1631,ยืน,stand,"4,382","2,492",1.204,"46,686",5.34,"2,550,977",0.17,"4,382 (0.17%)","2,492 (5.34%)"
11750,หูอื้อ,have a ringing in one's,"4,642","2,485",1.204,"46,686",5.32,"2,550,977",0.18,"4,642 (0.18%)","2,485 (5.32%)"
7384,ตื่นนอน,wake up,"2,663","2,392",1.230,"46,686",5.12,"2,550,977",0.10,"2,663 (0.10%)","2,392 (5.12%)"
11809,คล้ำ,be dark,"2,977","2,377",1.230,"46,686",5.09,"2,550,977",0.12,"2,977 (0.12%)","2,377 (5.09%)"
8196,ทับ,overlay,"4,827","2,367",1.230,"46,686",5.07,"2,550,977",0.19,"4,827 (0.19%)","2,367 (5.07%)"
2960,ไม่ยอม,refuse,"4,140","2,362",1.230,"46,686",5.06,"2,550,977",0.16,"4,140 (0.16%)","2,362 (5.06%)"
